Name;Name2;Producto;Teléfono;Ciudad;Correo Electrónico;Info;Sitio Web;Ubicación
COMAPIS APICULTURA;;MIEL, POLEN, PROPOLEO, CERA DE ABEJAS, MATERIAL PARA APICULTURA, PROYECTOS,;311-5685919;GACHANCIPA;gerencia@comapis.com;COMAPIS APICULTURASomos una empresa dedicada a la producción y comercialización de material apícola, montaje de proyectos productivos, producción y comercialización de miel de abejas y en general todo lo relacionado con la industria apícola. Nuestro equipo de trabajo esta conformado por Apicultores Profesionales Zootecnistas.;http://www.comapais.com;Pabellón: 06, Nivel: 02, Stand: 233
COMERCIAL OREA S.A.S.;COMERCIAL OREA S.A.S.;LIMPIADOR VAPOR, MANGUERA, LLAVE MULTIUSO, RODILLO PINTAR, TRAPERO.ESCALERA, TOTAL TROLLEY Y  MOLINO (Procesador de alimentos);571-2692119;BOGOTA D.C.;comercial.orea@gmail.com;COMERCIAL OREA S.A.S.;http://www.c-orea.com;Pabellón: 06, Nivel: 01, Stand: 626
COMERCIALIZADORA BARO SAS;COMERCIALIZADORA BARO SAS;;571-2770614;BOGOTA D.C.;ventas@gmail.com;COMERCIALIZADORA BARO SAS;http://www.comercializadorabaro.com;Pabellón: 06, Nivel: 01, Stand: 105
KUMBRE;KUMBRE;BOTAS OUTDOOR, TENNIS.ELEMENTOS PUBLICITARIOS: CHAQUETAS, CAMISETAS Y CACHUCHAS.;571-9272826;BOGOTA D.C.;cwinter.sas@gmail.com;KUMBRE;http://www.kumbre.com.co;Pabellón: 08, Nivel: 01, Stand: 235
COMERCIALIZADORA Y PRODUCTORA JERIKA S.A.S.;COMERCIALIZADORA Y PRODUCTORA JERIKA S.A.S.;;315-7945906;BOGOTA D.C.;germanavi06@gmail.com;COMERCIALIZADORA Y PRODUCTORA JERIKA S.A.S.;http://;Pabellón: 06, Nivel: 02, Stand: 134
COMERCIALIZADORA Y PROMOTORA GANADERA ASOCEBU S.A.S.;COMERCIALIZADORA Y PROMOTORA GANADERA ASOCEBU S.A.S.;EXPOSITORES GANADEROS;601-7561057;BOGOTA D.C.;guillermo.aldana@comercializadora.com.co;COMERCIALIZADORA Y PROMOTORA GANADERA ASOCEBU S.A.S.;http://www.comercializadora.com.co;Pabellón: 11-16, Nivel: 01, Stand: 104A
MUNICIPIO DE TAURAMENA;MUNICIPIO DE TAURAMENA;MUESTRA INSTITUCIONAL CORPORATIVA DEL MUNICIPIO DE TAURAMENA CON LAS PRINCIPALES CADENAS PRODUCTIVAS AGROPECUARIAS EN AGROEXPO 2021;311-4930878;TAURAMENA;diluigi55@gmail.com;MUNICIPIO DE TAURAMENA;http://;Pabellón: 06, Nivel: 02, Stand: 111
CLARO;CLARO;Productos de tecnologia que le sirven al sector de la salud y belleza, soluciones digitales para optimizar procesos , plataformas digitales para tiendas virtuales, conectividad y servicios de telefonia básicamente. ;7500300;BOGOTA D.C.;diego.bernal@claro.com.co;CLARO;http://www.claro.com.co;Pabellón: ALB, Nivel: 01, Stand: 75
CONFIABONOS SAS;CONFIABONOS SAS;ABONOS, SUSTRATOS Y FERTILIZANTES ORGANICOS  Y MINERALES PARA PLANTAS Y CULTIVOS, CONTROL DE PLAGAS Y HONGOS, PLANTAS ORNAMENTALES Y MATERAS.;319-4060987;BOGOTA D.C.;servicioalcliente@confiabonos.co;CONFIABONOS SAS;http://www.confiabonos.co;Pabellón: 06, Nivel: 02, Stand: 127
CONSEJO PROFESIONAL DE MEDICINA VETERINARIA Y ZOOTECNIA DE COLOMBIA;CONSEJO PROFESIONAL DE MEDICINA VETERINARIA Y ZOOTECNIA DE COLOMBIA;TRAMITE DE REGISTRO Y MATRICULA PROFESIONAL, SOLICITUD DE RECETARIOS OFICIALES, SEVICIO DE CAPACITACIONES Y FOMENTO DE LAS PROFESIONES MEDICINA VETERINARIA Y ZOOTECNIA ;571-6434135;BOGOTA D.C.;sejecutiva@consejoprofesionalmvz.gov.co;CONSEJO PROFESIONAL DE MEDICINA VETERINARIA Y ZOOTECNIA DE COLOMBIA;http://www.consejoprofesionalmvz.gov.co;Pabellón: 06, Nivel: 02, Stand: 124
CONSTRUCCIONES Y SUMINISTROS H&M S.A.S;CONSTRUCCIONES Y SUMINISTROS H&M S.A.S;LOS PRODUCTOS OFRECIDOS POR PARTE DE CONSTRUCCIONES Y SUMINISTROS HYM S.A.S ESTÁN RELACIONADOS CON LAS SOLUCIONES DE VIVIENDA Y CONSTRUCCIÓN DE ELEMENTOS AGRÍCOLAS EN PLACAS MODULARES DE HORMIGÓN FUNDIDO, ENTRE ESTAS CASAS PREFABRICADAS, BATERÍAS SANITARIAS, CAJAS DE INSPECCIÓN, HORCONES DE CERCA, CORRALES DE GANADERÍA ENTRE OTROS.;577-8835101;ARAUQUITA;construccionesysuministroshym@gmail.com;CONSTRUCCIONES Y SUMINISTROS H&M S.A.S;http://;Pabellón: ALB, Nivel: 01, Stand: 7
MINOTAUR;;ARTICULOS DE MARROQUINERIA EN GENERAL, BILLETERAS, CINTURONES,PORTADOCUMENTOS,LLAVEROS, ETC.;571-3038413;BOGOTA D.C.;leathersminotaur@gmail.com;MINOTAURMARROQUINERIA;http://www.grupogte.com;Pabellón: 08, Nivel: 01, Stand: 229
CONTENEDOR CULTURA Y COCINA SAS PORCINIRO-STEACK;;PREPARACIÓN Y COMERCIALIZACIÓN DE ALIMENTOS Y BEBIDAS: CARNE DE CERDO GENETICA NACIONAL, CARNE DE RES (SEBÚ), POLLO (NACIONAL) Y ACOMPAÑAMIENTOS (CEREALES, VEGETALES Y TUBERCULOS), GASEOSAS Y CERVEZAS NACIONALES E IMPORTADAS;571-7528842;BOGOTA D.C.;wchefdiaz@yahoo.es;CONTENEDOR CULTURA Y COCINA SAS PORCINIRO-STEACK;http://;Pabellón: AL02, Nivel: 01, Stand: 1
CONSORZIO SATIVA;CONSORZIO SATIVA;;39054-7380310;CESENA;pompili@sativa.it;CONSORZIO SATIVA;http://www.sativa.it;Pabellón: 06, Nivel: 01, Stand: 114
"""SANTANDER PARA EL MUNDO"" GOBERNACION DE SANTANDER";"""SANTANDER PARA EL MUNDO"" GOBERNACION DE SANTANDER";PRODUCTOS DEDICADOS AGRAROPS CP,P CACAO, PITAYA, PANELA, PESCADO, ENTRE OTROS;310-3000473;BUCARAMANGA;administracion@centroculturaldeloriente.co;"""SANTANDER PARA EL MUNDO"" GOBERNACION DE SANTANDER";http://;Pabellón: 03, Nivel: 01, Stand: 340
DEPARTAMENTO DEL HUILA;DEPARTAMENTO DEL HUILA;PRODUCTOS Y SUBPRODUCTOS  PISICOLAS, CACAO, CAFÉS ESPECIALES, FRUTAS (PASSIFLORAS) BIZCOCHOS DE ACHIRA, ARTESANIAS EN FIBRAS, VEGETALES Y AGUARDIENTE DOBLE ANIS. ;8723508;NEIVA;ccpgalasiberia@gmail.com;DEPARTAMENTO DEL HUILA;http://;Pabellón: 06, Nivel: 02, Stand: 501
AGROSAVIA;AGROSAVIA;;304-3487311;BOGOTA D.C.;cmosquera@agrosavia.co;AGROSAVIA;http://www.agrosavia.co;Pabellón: 03, Nivel: 01, Stand: 330A
DEPARTAMENTO DE CALDAS;DEPARTAMENTO DE CALDAS;Agroindustria;30-6237495;MANIZALES;ejecafe04@gmail.com;DEPARTAMENTO DE CALDAS;http://;Pabellón: 06, Nivel: 01, Stand: 414
CORPORACION GENERAL GUSTAVO MATAMOROS D COSTA;CORPORACION GENERAL GUSTAVO MATAMOROS D COSTA;PRODUCTOS ARTESANALES. PRODUCTOS PARA EL HOGAR Y DE VESTUARIO;571-6179788;BOGOTA D.C.;fsuarez@corporacionmatamoros.org;CORPORACION GENERAL GUSTAVO MATAMOROS D COSTA;http://www.corporacionmatamoros.org;Pabellón: 03, Nivel: 01, Stand: 442
ECOPETROL EMPRENDE;;Cafés especiales, snacks de frutas, snacks de alimentos, suministro de hidratación industrial, transporte;574-4446644;MEDELLIN;contabilidad@creame.com.co;ECOPETROL EMPRENDE;http://www.creame.com.co;Pabellón: 03, Nivel: 01, Stand: 425
CORPORACION MUNDIAL DE LA MUJER COLOMBIA;;;571-4009595;BOGOTA D.C.;coordinador2@cmmcolombia.org;CORPORACION MUNDIAL DE LA MUJER COLOMBIA;http://www.cmmcolombia.org;Pabellón: 03, Nivel: 02, Stand: 516
CORPORACION NACIONAL PARA EL SERVICIO DE NARCOTICOS DE COLOMBIA;CORPORACION NACIONAL PARA EL SERVICIO DE NARCOTICOS DE COLOMBIA;;574-2312018;BOGOTA D.C.;representantelegalcsr@nacolombia.org;CORPORACION NACIONAL PARA EL SERVICIO DE NARCOTICOS DE COLOMBIA;http://www.nacolombia.org;Pabellón: 03, Nivel: 01, Stand: 130
CORPORACIÓN EDUCATIVA NACIONAL;CORPORACIÓN EDUCATIVA NACIONAL;;7025804;BOGOTA D.C.;direccion@cen.edu.co;CORPORACIÓN EDUCATIVA NACIONAL;http://www.cen.edu.co;Pabellón: 03, Nivel: 02, Stand: 336
CAROLINA CORREA PRENDAS  ACCESORIOS;;PRENDAS Y ACCESORIOS EQUINOS Y GANADEROS: RUANAS,CAMISETAS,CHAQUETAS, TENIS, JOYERIA O BISUTERIA EQUINA Y GANADERA, GORRAS, PONCHOS, STIKERS,CORREAS EN CUERO, JUGUETERIA, PINES, SOMBREROS DECORADOS, BOLSOS, ETC.;312-2785738;BELLO;dicaromedellin@gmail.com;CAROLINA CORREA PRENDAS  ACCESORIOSPrendas y accesorios equinos;http://;Pabellón: 08, Nivel: 01, Stand: 211
CRUZ & GOMEZ S.A.S.;CRUZ & GOMEZ S.A.S.;;571-8795359;CAJICA;gerenciacruzgomez@yahoo.com.co;CRUZ & GOMEZ S.A.S.;http://;Pabellón: 04, Nivel: 01, Stand: 215
CRUZ & GOMEZ S.A.S.;CRUZ & GOMEZ S.A.S.;;571-8795359;CAJICA;gerenciacruzgomez@yahoo.com.co;CRUZ & GOMEZ S.A.S.;http://;Pabellón: 17, Nivel: 01, Stand: 1702
CUERO Y MODA NATURAL SKIN  SAS;CUERO Y MODA NATURAL SKIN  SAS;FABRICACION DE PRODUCTOS EN CUERO ;571-7031452;BOGOTA D.C.;servicioalcliente@cueroymoda.com;CUERO Y MODA NATURAL SKIN  SAS;http://www.cueroymoda.com;Pabellón: 08, Nivel: 01, Stand: 2
SOMBREROS Y ARTESANIAS DE COLOMBIA;SOMBREROS Y ARTESANIAS DE COLOMBIA;PONCHOS, SOMBREROS. TALABARTERIA Y ACCESORIOS;320-3205494;CHIQUINQUIRA;ponchosparacolombia@hotmail.com;SOMBREROS Y ARTESANIAS DE COLOMBIA;http://;Pabellón: 08, Nivel: 01, Stand: 230
CYPRES CASAS Y PREFABRICADOS;CYPRES CASAS Y PREFABRICADOS;CASAS PREFABRICADAS;574-2311332;MEDELLIN;cypres@casascypres.com;CYPRES CASAS Y PREFABRICADOS;http://www.casascypres.com;Pabellón: ALB, Nivel: 01, Stand: 100
CHEVRIER;CHEVRIER;PRODCUTOS ALIMENTICIOS DE LECHE DE CABRA, QUESOS, YOGURES, DULCES DE LECHE DE CABRA;311-2197015;BOGOTA D.C.;info@dnatura.co;CHEVRIER;http://www.chevrier.com.co/;Pabellón: 03, Nivel: 01, Stand: 220
DEL AGRO SOLUCIONES;;IMPULSORES PARA CERCA ELECTRICA, TENSORES PARA CERCA ELECTRICA, DESVIADOR  DE RAYOS, CUCHILLA DOBLE TIRO, AISLADORES PARA CERCA ELECTRICA, CINTA Y CORDON ELECTRICO, ACCESORIOS CERCA ELECTRICA, ENERGIA SOLAR, PROBADORES, CERCA ELECTRICA, PORTILLOS CERCA ELECTRICA, PANELES SOLARES, REGULADORES SOLARES, BATERIAS GEL;350-4616416;MEDELLIN;delagrosoluciones@gmail.com;DEL AGRO SOLUCIONES;http://www.delagrosoluciones.com;Pabellón: 03, Nivel: 01, Stand: 137
GOBERNACION DE BOYACA;GOBERNACION DE BOYACA;De acuerdo a la demanda y por convocatoria se priorizaran éstas líneas de productos: Producción y derivados de la miel de Abejas, Ovinos-Caprinos, Productos en fresco como: Alimentos, Lacteos, Frutas, Café, Cacao, Bebidas, Licores, Tuberculos (papa), Plantas aromáticas, Tubérculos, Productos procesados con valor agregado, Artesanías, Joyería.;578-7420150;TUNJA;secretario.agricultura@boyaca.gov.co;GOBERNACION DE BOYACA;http://www.boyaca.gov.co;Pabellón: 08, Nivel: 02, Stand: G101
GOBERNACION DE BOYACA;GOBERNACION DE BOYACA;De acuerdo a la demanda y por convocatoria se priorizaran éstas líneas de productos: Producción y derivados de la miel de Abejas, Ovinos-Caprinos, Productos en fresco como: Alimentos, Lacteos, Frutas, Café, Cacao, Bebidas, Licores, Tuberculos (papa), Plantas aromáticas, Tubérculos, Productos procesados con valor agregado, Artesanías, Joyería.;578-7420150;TUNJA;secretario.agricultura@boyaca.gov.co;GOBERNACION DE BOYACA;http://www.boyaca.gov.co;Pabellón: 08, Nivel: 02, Stand: G129
GOBERNACION DE BOYACA;GOBERNACION DE BOYACA;;578-7420150;TUNJA;secretario.agricultura@boyaca.gov.co;GOBERNACION DE BOYACA;http://www.boyaca.gov.co;Pabellón: 11-16, Nivel: 01, Stand: 156B
DEPARTAMENTO DE VICHADA;DEPARTAMENTO DE VICHADA;;0;PUERTO CARREÑO;agricultura@vichada.gov.co;DEPARTAMENTO DE VICHADA;http://www.gobvichada.gov.co;Pabellón: 06, Nivel: 02, Stand: 135
DEPARTAMENTO DEL ARAUCA;DEPARTAMENTO DEL ARAUCA;EXTRACTOS Y / 0 ACEITES Y/0 ALMENDRAS DE SACHA INCHI, SEMIPROCESADOS DE PLATANO, CHIP DE PLATANO EMPACADO, FRUTOS DEMARACUYA, HELADOS ARTESANALES, PANELA, VINOS FRUTALES, CACAO Y DERVIADOS DEL CACAO ( chocolatinas de mesa, chocolate de mesa,chocolate de taza, manteca de cacao,tortas, dulces, cobertura de chocolate, licor de cacao,bombones de cacao, chocolate tipo chocula,trufas, etc),SUBPRODUCTOS DE LECHE (quesos,yogurt,arequipes), MIEL Y MELIPONICULTURA( miel, polen, propoleo, dulce de miel,colmenos etc), CAFEORGANICO(cafe y dulces de cafe);577-8851946;ARAUCA;despacho@arauca.gov.co;DEPARTAMENTO DEL ARAUCA;http://www.arauca.gov.co;Pabellón: 06, Nivel: 02, Stand: 426
DEPARTAMENTO DEL CASANARE;DEPARTAMENTO DEL CASANARE;;578-6336339;YOPAL;direccionempresarial@casanare.gov.co;DEPARTAMENTO DEL CASANARE;http://www.casanare.gov.co;Pabellón: 06, Nivel: 02, Stand: 116
PET COTTON;PET COTTON;ROPA PARA MASCOTAS (PERROS Y GATOS) TALLA S,M,L;;BOGOTA D.C.;dpet.cotton@gmail.com;PET COTTON;http://;Pabellón: 06, Nivel: 01, Stand: 220
DICOPLAST - NOVASUIN;DICOPLAST - NOVASUIN;Equipamiento (pisos - slats plasticos y pletinas en fibra de vidrio) para el sector porcicola, equinos, caprinos, ovinos.Casetas multiuso en plastico para el almacenamiento de herramientas y equipos en zona.Bandejas plasticas para cultivosPalas plasticas agricolasMateros y soportes para materios plasticos - baldes de hidratacionLinea de autocultivo - cannabis;574-2555018;MEDELLIN;proyectos@dicoplast.com.co;DICOPLAST - NOVASUIN;http://www.dicoplast.com.co;Pabellón: 06, Nivel: 01, Stand: 215
ENTRETENIMIENTO MENTAL;ENTRETENIMIENTO MENTAL;MATERIAL DIDACTICO Y EDUCATIVO ELABORADO EN DIFERENTES TIPOS DE MATERIALES.;311-2696316;BOGOTA D.C.;entretenimientomental@gmail.com;ENTRETENIMIENTO MENTAL;http://;Pabellón: 08, Nivel: 01, Stand: 329
DIRECCION DE CARABINEROS Y SEGURIDAD RURAL;DIRECCION DE CARABINEROS Y SEGURIDAD RURAL;;571-5189796;BOGOTA D.C.;dicar.proyectos@policia.gov.co;DIRECCION DE CARABINEROS Y SEGURIDAD RURAL;http://www.policia.gov.co/carabineros;Pabellón: 08, Nivel: 01, Stand: 135A
DIRECCION DE CARABINEROS Y SEGURIDAD RURAL;DIRECCION DE CARABINEROS Y SEGURIDAD RURAL;;571-5189796;BOGOTA D.C.;dicar.proyectos@policia.gov.co;DIRECCION DE CARABINEROS Y SEGURIDAD RURAL;http://www.policia.gov.co/carabineros;Pabellón: 06, Nivel: 01, Stand: 528
DISKUBOTA S.A.S.;;IMPLEMENTOSAGRICOLASMARCASICMA,MOTORESDIESELMARCAKUBOTAYYANMAR,PLANTASELECTRICAS,MOTOCULTORESMARCAGRILLO, MOTOAZADAS GRILLO, MAQUINARIA MARCA GRILLO PARA PASTOS, HORTICULTURA, JARDINERIA Y OTROS.;571-3408111;BOGOTA D.C.;gerencia@diskubota.com;DISKUBOTA S.A.S.Venta y distribución de maquinaria agrícola e industrial, motores y todo tipo de repuestos para Kubota, motocultores, motoazadas, podadoras y carretillas de oruga marca Grillo, llantas Pirelli, distribuidores autorizados de motores y repuestos marca Yanmar, repuestos para minicargadores y motores Bobcat. Maquinaria especializada con motores Kubota, como tractores, plantas eléctricas, torres de iluminación, retroexcavadoras, motosoldadores, compresores, tractores usados Kubota, Rotocultivadores, fresadoras y dezbrozadoras marca Sicma y presentando los tractores Sonalika de nuevo en Colombia.;http://www.diskubota.com;Pabellón: 06, Nivel: 01, Stand: 602
DISKUBOTA S.A.S.;;IMPLEMENTOSAGRICOLASMARCASICMA,MOTORESDIESELMARCAKUBOTAYYANMAR,PLANTASELECTRICAS,MOTOCULTORESMARCAGRILLO, MOTOAZADAS GRILLO, MAQUINARIA MARCA GRILLO PARA PASTOS, HORTICULTURA, JARDINERIA Y OTROS.;571-3408111;BOGOTA D.C.;gerencia@diskubota.com;DISKUBOTA S.A.S.Venta y distribución de maquinaria agrícola e industrial, motores y todo tipo de repuestos para Kubota, motocultores, motoazadas, podadoras y carretillas de oruga marca Grillo, llantas Pirelli, distribuidores autorizados de motores y repuestos marca Yanmar, repuestos para minicargadores y motores Bobcat. Maquinaria especializada con motores Kubota, como tractores, plantas eléctricas, torres de iluminación, retroexcavadoras, motosoldadores, compresores, tractores usados Kubota, Rotocultivadores, fresadoras y dezbrozadoras marca Sicma y presentando los tractores Sonalika de nuevo en Colombia.;http://www.diskubota.com;Pabellón: 06, Nivel: 01, Stand: 6
DISTRIBUIDORA NACIONAL DE SOMBREROS S.A.S.;DISTRIBUIDORA NACIONAL DE SOMBREROS S.A.S.;SOMBREROS CACHUCHAS, BOINAS, PONCHOS Y RUANAS;574-5130201;MEDELLIN;sombreros@une.net.co;DISTRIBUIDORA NACIONAL DE SOMBREROS S.A.S.;http://;Pabellón: 08, Nivel: 01, Stand: 1
DINISSAN MAQUINARIA;;SE EXHIBIRAN 5 TRACTORES DE LA MARCA NEW HOLLAND AGRÍCOLA;571-4434100;BOGOTA D.C.;amarango@dinissan.com.co;DINISSAN MAQUINARIADinissan Maquinaria es una compañía que cuenta con todo el respaldo de Distribuidora Nissan S.A, con más de 55 años de experiencia en el mercado, donde hemos logrado diversificarnos y expandirnos a nivel nacional con el fin de ser competitivos y por supuesto brindar nuevos y mejores productos.;http://www.dinissanmaquinaria.com;Pabellón: 06, Nivel: 01, Stand: 324A
DISTRICAMPO S.A.S.;;Impulsores para cerca electrica , tensores , aisladores , cable iaslado , flotadores para bebedero , desviadores de rayo, cuchillas doble tiro, voltimetros de luces , suichesinterrptores, todo lo relacionado con las cercas electricas.;574-3220445;ITAGUI;gerencia@districampo.com;DISTRICAMPO S.A.S.Fabricantes de cercas eléctricas;http://www.districampo.com;Pabellón: 03, Nivel: 01, Stand: 639
DORIS ORTIZ;DORIS ORTIZ;PRODUCTOS DE USO PERSONAL FABRICADOS A BASE DE CUERO BOVINO.;321-2462859;BOGOTA D.C.;artipicolombia@gmail.com;DORIS ORTIZ;http://;Pabellón: 08, Nivel: 01, Stand: 237
OLGA DURÁN;OLGA DURÁN;SALTOSA Y EMBRIONES DE CABALLOS DE RAZAS GYPSY Y FRISÓN. PRODUCTOS DE BELLEZA EQUINA.;313-5305753;BOGOTA D.C.;olduma@hotmail.com;OLGA DURÁN;http://;Pabellón: 11-16, Nivel: 01, Stand: 116B
DURORDEÑOS CC S.A.S;;EQUIPOS DE ORDEÑO DESDE UN PUESTO ENN ADELANTE, SALAS DE ORDEÑÓ, ESTABLOS Y TANQUES DE ENFRIAMIENTO;300-5965722;BOGOTA D.C.;johana882008@gmail.com;DURORDEÑOS CC S.A.S;http://www.durordenos.com;Pabellón: 03, Nivel: 01, Stand: 502
E-CONTAINERS SAS;E-CONTAINERS SAS;CONTENEDORES REFROGERADOS PARA CADENA DE FRIO;311-6384356;BOGOTA D.C.;info@econtainers.co;E-CONTAINERS SAS;http://www.econtainerscolombia.com;Pabellón: ALB, Nivel: 01, Stand: 32
EDICIONES EL PROFESIONAL LIBROS VETERINARIOS;;MODELOS ANATOMICOS, PRODUCTOS ARTESANALES PINTADOS A MANO, LIBROS ESPECIALIZADOS EN MEDICINA VETERINARIA, BIOLOGIA Y AGRONOMIA, ingenieria de ALIMENTOS;571-2810931;BOGOTA D.C.;edicioneselprofesional@hotmail.com;EDICIONES EL PROFESIONAL LIBROS VETERINARIOSLibros especializadfos en Agronomia, Ingenieria de Alimentos, Veterinaria en todas las ramas (porcinos, equinos, bovinos, caninos, felinos), Zootecnia Y Produccion animal.;http://www.edicioneselprofesional.com.co;Pabellón: 03, Nivel: 02, Stand: 155
EDITORIAL BEBE GENIAL;EDITORIAL BEBE GENIAL;KIT DE ESTIMULACION NEURONAL METODO BEBE POLYGLOTA, KIT DE LECTURA INFANTIL CON REALIDAD AUMENTADA EN DOS IDIOMAS(ESPAÑOL E INGLES), LIBROS ESCOLARES DE ESTIMULACIÓN TEMPRANA.;571-4846150;BOGOTA D.C.;rguerra@bebegenial.com;EDITORIAL BEBE GENIAL;http://www.bebegenial.com;Pabellón: 03, Nivel: 01, Stand: 626
LA REPUBLICA;LA REPUBLICA;AGRONEGOCIOS. EL PERIODICO DE LOS EMPRENDEDORES RURALES;571-4227600;BOGOTA D.C.;tnieto@larepublica.com.co;LA REPUBLICA;http://www.larepublica.co;Pabellón: 03, Nivel: 01, Stand: 541
EDITORIAL LA UNIDAD;EDITORIAL LA UNIDAD;Periodico EL NUEVO SIGLO distribución de ejemplares y especial de responsabilidad social y sector agropecuario;4139200;BOGOTA D.C.;claudia.minaya@elnuevosiglo.com.co;EDITORIAL LA UNIDAD;http://www.elnuevosiglo.com.co;Pabellón: 06, Nivel: 01, Stand: 608
NEWMAN;NEWMAN;"TRACTORES NEWMAN FARMTRAC DE 26 HP A 110, IMPLEMENTOS AGRICOLAS, MAQUINARIA AMARILLA (PAJARITAS, RETROEXCAVADORAS, ADITAMENTEOS ""ROLLO VIBROCOMPACTADOR, CIMENTADORA"") NEWMAN SKID STEER Y NEWMAN BULL EN FISICO, EN PUBLICIAD COORPORATIVA TRACTORES Y COSECHADORAS DE SEGUNDA IMPORTADAS DESDE ESPAÑA .";;VILLAVICENCIO;bettyfernandez@newmancoorp.com;NEWMAN;http://www.newmanmaquinariapesada.co/;Pabellón: AL04, Nivel: 01, Stand: 8
ELANCO COLOMBIA S.A.S;;FERIA COMERCIAL DE EXPOSICIÓN QUE REFORZARÁ MENSAJES CLAVES DE LOS PRINCIPALES PRODUCTOS DEL PORTAFOLIO GANADERO DE ELANCO Y SE ENTREGARÁ CAPACITACIONES Y MATERIAL PARA PRODUCTOS EN LANZAMIENTO;1-6024200;BOGOTA D.C.;notificacionesandina@elanco.com;ELANCO COLOMBIA S.A.SReconstituyente y poder del desempeño Estimulante metabólico y reconstituyente para sus animales, así comocoadyuvante en el tratamiento de anemias. Por su contenido de vitamina B12, Catosal fomenta el metabolismo influyendo favorablemente en el crecimiento corporal, en la formación de glóbulos rojos, y demuestra también una acción protectora del hígado de sus animales.;http://www.elanco.com;Pabellón: 03, Nivel: 02, Stand: 6
VECOL S.A;;;571-4254800;BOGOTA D.C.;andres.pulido@vecol.com.co;VECOL S.ASomos una empresa colombiana con enfoque global, que brinda soluciones integrales para promover la sanidad animal y la productividad del sector agropecuario. En Vecol trabajamos día a día para ser el mejor aliado del campo, con un excelente equipo humano capacitado y comprometido, con procesos de modernización, investigación y desarrollo para garantizar la entrega de productos eficaces y seguros que satisfacen las expectativas de nuestros productores y agricultores.;http://www.vecol.com;Pabellón: 03, Nivel: 01, Stand: 414
VECOL S.A;VECOL S.A;;571-4254800;BOGOTA D.C.;andres.pulido@vecol.com.co;VECOL S.A;http://www.vecol.com;Pabellón: 03, Nivel: 01, Stand: 513A
ENERGIA Y POTENCIA S.A.S.;;CORTADORS Y TRITURADORAS DE PASTO, FUMIGADORAS, GUADAÑADORAS, MOTOSIERRAS, PICADORAS DE CAÑA, SISTEMAS DE RIEGO, MOPTOBOMBAS Y BOMBAS, EQUIPOS DE LAVADO DE ALTA PRESION;574-3786100;ITAGUI;comunicaciones@energiaypotencia.com;"ENERGIA Y POTENCIA S.A.S.Somos una compañía colombiana dedicada a la importación, ensamble y comercialización de maquinaria para la industria y el agro, con cobertura del mercado nacional y centroamericano. Nuestro portafolio está conformado por equipos de marcas reconocidas mundialmente, lo que nos permite entregar soluciones profesionales en generación, potencia motriz y energía solar; contamos con disponibilidad de repuestos para todos nuestros productos, complementando así, el respaldo a nuestro proceso comercial y nuestro servicio postventa.";http://www.energiaypotencia.com;Pabellón: 11-16, Nivel: 01, Stand: 100
ETAGRO Y CIA S. EN C.S;;EQUIPOS DE FUMIGACION, MOTOBOMBAS DIESEL, MOTOBOMBAS GASOLINA, MOTORES DIESEL, MOTORES GASOLINA, PICADORAS, TERMONEBULIZADORES, MOTOAZADAS Y GUADAÑADORASLA MERCANCIA QUE SE EXHIBIRÁ  SON ELEMENTOS COMPONENTES DE SISTEMAS DE RIEGO.;572-6652415;CALI;contabilidad@etagro.com;ETAGRO Y CIA S. EN C.S;http://www.etagro.com;Pabellón: 06, Nivel: 01, Stand: 247
ETAGRO Y CIA S. EN C.S;;EQUIPOS DE FUMIGACION, MOTOBOMBAS DIESEL, MOTOBOMBAS GASOLINA, MOTORES DIESEL, MOTORES GASOLINA, PICADORAS, TERMONEBULIZADORES, MOTOAZADAS Y GUADAÑADORASLA MERCANCIA QUE SE EXHIBIRÁ  SON ELEMENTOS COMPONENTES DE SISTEMAS DE RIEGO.;572-6652415;CALI;contabilidad@etagro.com;ETAGRO Y CIA S. EN C.S;http://www.etagro.com;Pabellón: 06, Nivel: 01, Stand: 250
EURO MARCALI S.A.S;EURO MARCALI S.A.S;COMERCIO VEHICULOS AUTOMOTORES NUEVOS;601-3275000;BOGOTA D.C.;servicioalcliente@marcali.com;EURO MARCALI S.A.S;http://www.marcali.com;Pabellón: AL05, Nivel: 01, Stand: 10
AGENCIA;;PRODUCTOS CAFÉ SEMILLAS ACEITES PRODUCTOS AGRICOLAS;576-8811565;MANIZALES;lauracuellar@reincorporacion.gov.co;AGENCIALa Agencia para la Reincorporación y la Normalización (ARN) es la entidad de Presidencia de la República que acompaña y brinda asesoría permanente a quienes le apuestan a la paz y hacen tránsito a la legalidad, generando oportunidades que fortalezcan sus capacidades y puedan desenvolverse plenamente como ciudadanos, a través de los procesos de Reintegración, Reintegración Especial y Reincorporación.;http://www.adescubrir.com;Pabellón: 03, Nivel: 01, Stand: 319
EXPOINDIGENAS;EXPOINDIGENAS;QUINOA,CHIA, AMARANTO, MACA, ALGARROBO, SACHA INCHI, CARDAMOMO, PANELA. MIEL. CAFÉ, CACAO. TABACO;311-2183616;BOGOTA D.C.;expoindigenas1@hotmail.com;EXPOINDIGENAS;http://www.expoindigenas.com;Pabellón: 06, Nivel: 02, Stand: 409
